Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Gender
Emmet's Builder Box!,THE LEGO MOVIE 2,125.0,29.99,56.0,1.0,76.0,nøytralt
Quantum Realm Explorers,Marvel,200.0,19.99,64.0,3.0,100.0,gutt
Moana's Island Home,Disney,202.0,29.99,68.0,1.0,121.0,nøytralt
People Pack - Space Research and Development,City,209.0,39.99,68.0,15.0,146.0,gutt
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,2.0,109.0,gutt
Iron Man Armory,Marvel,258.0,29.99,68.0,3.0,110.0,gutt
Diagon Alley,Harry Potter,374.0,19.99,72.0,1.0,116.0,nøytralt
Dilophosaurus Outpost Attack,Jurassic World,289.0,39.99,72.0,3.0,124.0,gutt
Mulan's Training Grounds,Disney,157.0,29.99,76.0,1.0,94.0,nøytralt
Funny Octopus Ride,Friends,324.0,39.99,76.0,2.0,145.0,jente
Black Widow's Helicopter Chase,Marvel,271.0,29.99,80.0,3.0,125.0,gutt
Venom Crawler,Marvel,413.0,29.99,80.0,3.0,132.0,gutt
Armored Assault Tank (AAT),Star Wars,286.0,39.99,80.0,3.0,121.0,gutt
Captain Marvel and The Skrull Attack,Marvel,307.0,29.99,80.0,3.0,126.0,gutt
501st Legion Clone Troopers,Star Wars,285.0,29.99,84.0,3.0,125.0,gutt
Hoth Medical Chamber,Star Wars,255.0,29.99,84.0,4.0,120.0,gutt
Sandspeeder,Star Wars,278.0,29.99,84.0,2.0,110.0,gutt
Stephanie's House,Friends,170.0,39.99,92.0,3.0,116.0,jente
Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,312.0,29.99,92.0,3.0,98.0,nøytralt
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,4.0,164.0,gutt
White Dragon Horse Bike,Monkie Kid,259.0,34.99,96.0,3.0,134.0,gutt
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,3.0,96.0,gutt
Spinning Brushes Car Wash,Friends,325.0,29.99,108.0,2.0,174.0,jente
Air Race,City,140.0,39.99,108.0,3.0,84.0,gutt
Quidditch Match,Harry Potter,500.0,39.99,112.0,6.0,205.0,nøytralt
Iron Bull Tank,Monkie Kid,430.0,49.99,124.0,3.0,160.0,gutt
Rainbow Caterbus,Trolls World Tour,395.0,39.99,132.0,5.0,170.0,jente
Jurassic Park Velociraptor Chase ,Jurassic World,360.0,39.99,132.0,4.0,195.0,gutt
Winter Village Fire Station,Creator Expert,1166.0,99.99,136.0,8.0,323.0,gutt
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,5.0,260.0,gutt
Death Star Final Duel,Star Wars,775.0,99.99,140.0,4.0,241.0,gutt
Hedwig,Harry Potter,630.0,39.99,148.0,1.0,166.0,nøytralt
Tree House Treasures ,Creator 3-in-1,260.0,29.99,152.0,2.0,119.0,nøytralt
Monkie Kid's Cloud Jet,Monkie Kid,390.0,59.99,168.0,4.0,199.0,gutt
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,4.0,202.0,gutt
Attack on The Burrow,Harry Potter,1047.0,99.99,180.0,8.0,383.0,nøytralt
Police Brick Box,City,301.0,39.99,188.0,4.0,162.0,gutt
Outback Cabin,Creator 3-in-1,305.0,29.99,196.0,2.0,141.0,nøytralt
Demon Bull King,Monkie Kid,585.0,89.99,200.0,3.0,264.0,gutt
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,6.0,303.0,gutt
Alpaca Mountain Jungle Rescue,Friends,512.0,59.99,208.0,2.0,270.0,jente
Pigsy's Food Truck,Monkie Kid,455.0,69.99,212.0,4.0,299.0,gutt
Heartlake City Brick Box,Friends,321.0,39.99,220.0,2.0,121.0,jente
Y-wing Starfighter,Star Wars,1967.0,199.99,220.0,2.0,359.0,gutt
Red Son's Inferno Truck,Monkie Kid,1111.0,119.99,244.0,5.0,350.0,gutt
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,8.0,425.0,gutt
Monkey King Warrior Mech,Monkie Kid,975.0,149.99,272.0,6.0,435.0,gutt
Haunted House,Creator Expert,3231.0,249.99,312.0,8.0,467.0,gutt
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,7.0,479.0,gutt
Ski Resort,City,806.0,89.99,328.0,11.0,348.0,gutt
Disney Train and Station,Powered UP,2925.0,329.99,397.0,5.0,509.0,gutt
1989 Batmobile,Batman,3306.0,249.99,404.0,3.0,484.0,gutt
Tree House,Ideas,3036.0,199.99,428.0,4.0,482.0,nøytralt
Welcome to Apocalypseburg!,THE LEGO MOVIE 2,3178.0,299.99,452.0,13.0,692.0,nøytralt
Jurassic Park: T. rex Rampage,Jurassic World,3120.0,249.99,464.0,6.0,525.0,gutt
Monkie Kid's Team Secret HQ,Monkie Kid,1105.0,169.99,556.0,7.0,622.0,gutt
